,control1_rna,control2_rna,control3_rna,het1_rna,het2_rna,het3_rna,homo1_rna,homo2_rna,homo3_rna
Dele1,668,684,626,1058,964,985,728,909,693
Dennd1a,896,882,745,2113,1911,1841,636,805,768
Dennd1b,886,938,727,865,893,757,616,911,506
Dennd1c,1,3,0,3,1,1,0,3,2
Dennd2a,1162,1161,1071,1510,1321,1343,416,567,481
Dennd2c,435,443,395,246,260,257,531,713,488
Dennd2d,4,1,2,3,1,3,15,17,9
Dennd3,132,121,134,35,32,10,81,130,57
Dennd4a,1419,1541,1032,2000,2094,1830,1408,2183,1758
Dennd4b,219,207,156,504,489,396,168,211,215
Dennd4c,2634,3021,2212,3168,3291,2970,2666,3448,2508
Dennd5a,5032,5248,4509,7969,7152,6598,4591,5816,4259
Dennd5b,1542,1574,1400,1296,1296,1250,572,868,569
Dennd6a,907,925,798,1188,1195,1226,812,1301,971
Dennd6b,441,405,267,177,177,150,349,524,252
Denr,7935,8420,7767,5251,4669,5240,7548,8544,8837
Depdc1a,1580,2037,1372,1511,1720,1546,1513,2436,1512
Depdc1b,350,373,368,327,288,324,583,638,441
Depdc5,804,794,752,875,784,749,789,1284,882
Depdc7,194,231,216,187,167,214,582,826,519
Depp1,0,0,0,0,0,0,0,0,1
Deptor,547,549,475,144,171,147,311,656,417
Dera,670,660,570,886,736,802,865,1111,765
Derl1,4550,4568,4127,4040,3747,3699,4347,5953,4491
Derl2,1768,1851,1684,2047,1944,1876,1885,2605,2107
Derl3,0,0,0,0,0,0,0,0,0
Des,49,62,53,44,48,54,74,99,104
Desi1,4518,4559,4533,2562,2271,2586,4031,4875,4353
Desi2,2320,2407,2121,2546,2471,2208,3651,4573,4137
Det1,253,249,247,313,316,369,352,407,416
Deup1,0,0,0,0,1,0,0,0,0
Dexi,366,365,352,426,380,352,330,431,358
Dffa,277,323,319,351,303,308,502,724,541
Dffb,231,260,219,226,220,206,248,315,199
Dfna5,42,51,39,97,86,102,53,64,82
Dfnb59,0,0,0,1,2,0,1,0,0
Dgat1,1065,1056,851,1089,969,829,1067,1369,892
Dgat2,168,153,193,182,129,207,305,399,451
Dgat2l6,0,0,0,0,0,0,0,0,0
Dgcr14,333,376,301,325,275,310,367,464,363
Dgcr2,4338,4247,4047,3925,3309,3614,3742,4742,3881
Dgcr6,973,1019,1002,840,777,773,941,1168,868
Dgcr8,3500,3444,2810,3595,3372,3660,3704,4770,3726
Dgka,192,173,157,221,194,216,133,240,143
Dgkb,0,0,0,0,0,0,0,0,0
Dgkd,4028,4117,3323,3642,3281,3297,3087,3333,2863
Dgke,1101,1181,950,1225,1241,1063,1395,1784,1158
Dgkeos,0,0,0,0,0,0,0,0,0
Dgkg,1,1,0,0,1,1,0,0,0
Dgkh,2291,2407,1798,2187,2239,1934,1435,1750,1405
Dgki,15,16,16,21,17,15,15,18,17
Dgkk,0,3,0,3,2,3,0,0,0
Dgkq,751,753,592,948,896,786,824,996,695
Dgkz,3226,3436,2956,3877,3453,3201,3080,3607,2877
Dglucy,132,143,172,247,214,161,111,256,147
Dguok,228,262,222,275,235,280,366,460,369
Dhcr24,4130,4032,4883,858,768,1004,2521,3595,1707
Dhcr7,430,429,434,636,594,722,314,423,283
Dhdds,1217,1224,1043,1333,1085,1212,1449,1899,1577
Dhdh,9,6,5,7,1,6,4,11,5
Dhfr,2643,2763,2569,1307,1253,1506,3121,3987,3789
Dhh,1,1,1,1,0,1,1,2,2
Dhodh,787,738,665,604,509,640,927,1022,1045
Dhps,1618,1750,1511,1456,1251,1451,1908,2257,2180
Dhrs1,772,778,691,1218,1213,1099,477,750,526
Dhrs11,232,264,196,276,266,230,254,322,208
Dhrs13,677,664,610,620,509,660,663,796,790
Dhrs13os,0,0,0,0,0,0,0,0,0
Dhrs2,1,7,1,6,6,3,3,6,2
Dhrs3,1,7,1,167,155,114,23,40,52
Dhrs4,631,654,621,911,817,1010,834,1073,827
Dhrs7,234,218,184,635,546,479,273,402,282
Dhrs7b,935,957,950,1098,901,1146,1246,1487,1266
Dhrs7c,0,0,0,0,0,0,0,0,0
Dhrs9,33,27,34,10,12,7,297,318,579
Dhrsx,1003,955,870,950,898,820,772,974,723
Dhtkd1,31,41,40,151,141,178,170,218,178
Dhx15,13186,13858,11916,11002,11056,11425,12858,16323,13784
Dhx16,2517,2609,2299,1962,1707,1926,2390,2586,2416
Dhx29,1853,1929,1654,1444,1313,1317,2041,2552,2101
Dhx30,3191,3105,2733,3217,2864,3207,2789,3595,3154
Dhx32,1418,1456,1307,2711,2386,2117,1128,1634,1021
Dhx33,3953,4080,3485,2384,2199,2567,4068,5163,4189
Dhx34,512,596,478,581,560,556,286,325,207
Dhx35,686,705,660,843,762,752,795,1009,806
Dhx36,3888,4364,3461,3279,3601,3320,3600,5343,4179
Dhx37,2296,2462,2180,1530,1336,1592,2285,2619,2454
Dhx38,4496,4762,4413,3584,3095,3541,5377,6548,5673
Dhx40,1812,1955,1592,1853,1863,1658,2383,3266,2453
Dhx57,852,889,739,820,803,739,563,818,564
Dhx58,52,54,36,37,41,27,165,169,146
Dhx58os,0,0,0,0,0,0,0,0,0
Dhx8,2360,2466,2329,1703,1595,1765,2504,3191,2665
Dhx9,17096,18335,15270,14289,14379,15786,14692,19972,15552
Diablo,1008,1024,857,1032,871,922,1207,1528,1312
Diaph1,3482,3558,3135,4947,4438,4592,2957,3447,2771
Diaph2,783,799,723,1419,1416,1247,731,983,906
Diaph3,5655,6213,4886,5052,4982,5092,4449,5806,5014
Dicer1,3962,4091,3408,3960,3572,3376,2835,3744,2796
Dido1,4541,4782,4398,4691,4384,4295,4454,6110,4349
Diexf,1204,1228,1068,931,899,946,1155,1348,1194
Dimt1,1858,1962,1569,1077,1038,1146,2347,2731,2413
Dio1,0,0,0,0,0,0,0,0,0
Dio2,2,1,0,14,20,26,0,1,0
Dio3,0,0,0,2,0,2,1,1,1
Dio3os,0,0,0,0,0,0,0,0,0
Dip2a,3023,3132,2765,3336,3040,2889,3076,3608,2811
Dip2b,2563,2545,2553,1827,1694,1755,2548,3482,2788
Dip2c,1292,1304,1098,1165,1073,1126,1263,1576,1537
Diras1,24,29,32,7,7,5,2,6,5
Diras2,3,1,2,6,4,3,58,59,73
Dirc2,740,807,701,1554,1339,1237,747,951,827
Dis3,6223,6537,5356,3372,3350,3870,6512,7683,7249
Dis3l,963,946,893,1124,998,1106,730,891,768
Dis3l2,491,495,393,507,460,448,309,413,241
Disc1,25,23,13,30,26,25,7,15,10
Disp1,740,801,674,812,766,925,855,1089,854
Disp2,8,4,0,2,2,0,0,0,0
Disp3,0,0,1,2,1,1,0,0,1
Dixdc1,421,468,433,464,441,458,511,858,499
Dkc1,5876,6377,5578,2678,2553,3576,6068,7859,6215
Dkk1,0,0,0,0,0,0,0,0,0
Dkk2,519,539,598,178,132,132,1,3,3
Dkk3,2,5,2,297,256,230,23,20,17
Dkk4,6,3,6,9,2,16,3,1,1
Dkkl1,11,6,7,5,4,2,4,0,3
Dlat,3666,3694,3639,3961,3638,3798,3407,4111,3429
Dlc1,3085,3203,2326,7142,6334,6064,9427,16919,13212
Dld,4749,5181,4477,4920,4867,4753,4259,5746,4465
Dlec1,1,1,1,6,3,3,1,5,8
Dleu2,0,0,0,0,0,0,0,0,0
Dleu7,0,0,0,0,1,0,0,0,0
Dlg1,3891,4134,3485,5499,5315,4445,4810,5864,5469
Dlg2,13,14,6,35,44,26,14,28,9
Dlg3,751,766,752,942,887,826,328,595,327
Dlg4,1969,2119,1595,1731,1581,1369,1270,1436,1032
Dlg5,3643,3790,3331,3570,3153,2664,3483,4014,3467
Dlgap1,8,3,8,37,55,59,10,3,10
Dlgap2,1,0,0,3,3,2,1,3,5
Dlgap3,0,2,1,6,2,5,3,4,3
Dlgap4,2728,2719,2185,4889,4191,4463,2838,3172,2618
Dlgap5,1798,2027,1595,2027,1924,1984,2122,3123,1891
Dlk1,1,2,0,47,56,37,3,5,4
Dlk2,1059,1097,1049,612,510,562,1223,2121,1459
Dll1,6,6,10,8,7,12,13,12,32
Dll3,6,4,2,9,6,4,2,6,2
Dll4,0,0,3,2,1,0,1,0,1
Dlst,8399,8440,7452,7602,6887,7014,6811,8094,6840
Dlx1,317,388,292,317,299,350,481,736,539
Dlx1as,0,0,0,0,0,0,0,0,0
Dlx2,536,520,485,149,130,194,706,1483,1297
Dlx3,13,21,26,11,6,9,4,22,22
Dlx4,5,7,13,2,3,2,3,8,9
Dlx4os,0,0,0,0,0,0,0,0,0
Dlx5,1,1,0,5,2,6,7,14,20
Dlx6,2,0,0,1,0,1,2,2,3
Dlx6os1,0,0,0,0,0,0,0,0,0
Dlx6os2,0,0,0,0,0,0,0,0,0
Dmac1,398,332,371,447,378,444,431,529,416
Dmac2,244,248,217,210,202,240,236,286,266
Dmap1,753,733,651,770,642,681,696,1031,689
Dmbt1,0,0,0,0,0,0,1,0,1
Dmbx1,3,1,2,4,9,10,0,5,3
Dmc1,2,0,0,1,0,0,1,1,1
Dmd,17,22,11,512,610,321,52,81,50
Dmgdh,0,0,0,0,0,0,1,0,0
Dmkn,0,3,2,0,0,0,25,45,46
Dmp1,1,1,0,17,19,5,2,1,1
Dmpk,795,714,822,731,649,386,193,304,150
Dmrt1,1,0,0,1,0,0,1,0,1
Dmrt1i,0,0,0,0,0,0,0,0,0
Dmrt2,7,4,0,63,57,42,12,13,9
Dmrt3,178,170,154,0,0,0,0,0,0
Dmrta1,55,71,51,8,8,5,1,8,4
Dmrta2,1885,1864,1802,2045,1752,1773,7,17,8
Dmrta2os,0,0,0,0,0,0,0,0,0
Dmrtb1,0,0,1,0,0,0,0,3,0
Dmrtc1a,0,0,0,3,0,0,0,0,0
Dmrtc1b,0,0,0,0,0,0,0,0,0
Dmrtc1c1,0,0,0,0,0,0,0,0,0
Dmrtc1c2,0,0,0,0,0,0,0,0,0
Dmrtc2,0,0,0,0,0,0,0,0,0
Dmtf1,1420,1545,1087,1934,1959,1638,1436,2041,1569
Dmtn,176,176,155,88,111,101,27,38,23
Dmwd,1835,1968,1642,2349,1978,2117,1559,1941,1488
Dmxl1,2131,2434,1814,2646,2919,2505,1743,2532,1990
Dmxl2,754,861,619,674,668,557,468,641,340
Dna2,1323,1336,1057,742,666,879,759,1136,804
Dnaaf1,0,0,0,0,0,0,0,0,0
Dnaaf2,1234,1220,1111,896,811,898,825,918,880
Dnaaf3,42,50,49,34,28,20,54,77,20
Dnaaf5,1619,1716,1528,1324,1275,1420,2086,2231,2236
Dnah1,9,10,4,15,10,9,4,6,8
Dnah10,6,7,4,4,1,6,10,12,17
Dnah11,1,1,0,3,1,0,1,1,2
Dnah12,6,8,8,7,3,4,10,6,7
Dnah14,1,2,1,15,26,16,7,6,6
Dnah17,1,1,1,3,5,1,3,6,5
Dnah2,4,1,4,13,8,18,5,4,16
Dnah3,0,0,0,0,0,0,0,0,0
Dnah5,1,3,4,2,2,1,1,2,1
Dnah6,4,4,4,24,21,24,73,115,102
Dnah7a,1,1,0,13,17,11,0,0,0
Dnah7b,2,1,1,28,30,19,0,0,2
Dnah7c,1,1,0,14,16,11,0,0,0
Dnah8,1,1,2,0,0,0,3,0,2
Dnah9,0,0,0,1,0,0,0,0,0
Dnaic1,0,1,0,1,1,0,2,1,0
Dnaic2,10,11,10,29,23,20,7,6,7
Dnaja1,11546,12493,10966,9939,9675,9990,11866,15991,10710
Dnaja2,10637,10946,9926,8887,8466,8685,12693,15129,14593
Dnaja3,1519,1642,1656,1750,1536,1826,1861,2305,2290
Dnaja4,412,425,396,746,705,607,769,805,722
Dnajb1,2230,2357,2127,2388,2136,2134,2722,3601,3099
Dnajb11,4127,4168,3889,5073,4226,4890,4611,5484,4892
Dnajb12,2395,2378,2006,1792,1619,1750,1905,2625,1863
Dnajb13,0,0,0,1,0,0,1,0,0
Dnajb14,1490,1528,1267,1830,1804,1829,1168,1573,1336
Dnajb2,600,593,552,715,658,673,629,880,679
Dnajb3,1,0,0,0,1,0,0,0,0
Dnajb4,1697,1790,1436,2666,2739,2779,1406,2741,1733
Dnajb5,486,504,354,987,886,769,287,299,238
Dnajb6,3104,3209,2846,3427,3135,3384,3631,4550,3708
Dnajb7,0,0,0,1,1,0,0,0,0
Dnajb8,0,0,0,0,0,0,0,0,0
Dnajb9,357,404,370,607,649,596,190,254,304
Dnajc1,1340,1438,1107,2263,2147,2266,1550,1895,1654
Dnajc10,6946,7345,6219,10884,10297,9898,7718,10420,7986
Dnajc11,3357,3423,3164,2658,2284,2789,3383,3889,3497
Dnajc12,147,157,131,79,80,71,183,304,156
Dnajc13,4887,5438,4683,6290,6011,5634,5448,7912,6036
Dnajc14,2907,2951,2746,2966,2547,2772,3068,4119,3112
Dnajc15,0,1,0,295,288,336,162,210,150
Dnajc16,625,623,541,757,725,634,534,708,548
Dnajc17,221,245,215,287,260,280,281,384,255
Dnajc18,498,457,450,703,641,665,375,458,387
Dnajc19,593,608,597,577,524,589,583,680,633
Dnajc19-ps,401,388,421,389,340,398,400,463,438
Dnajc2,2985,3492,2718,2338,2253,2573,4694,5653,4780
Dnajc21,1912,2234,1873,1157,1012,1148,2243,2984,2300
Dnajc22,23,14,19,4,5,2,3,7,7
Dnajc24,435,471,420,563,498,588,555,660,536
Dnajc25,1116,1137,971,1116,984,1104,1126,1448,1166
Dnajc27,590,594,508,584,529,493,407,403,430
Dnajc28,28,14,23,45,39,43,45,37,31
Dnajc3,3328,3492,2899,4648,4387,4288,2937,4407,3279
Dnajc30,239,282,259,373,340,317,287,324,309
Dnajc4,251,264,219,349,299,272,272,342,254
Dnajc5,4607,4891,4159,6585,6100,6102,6247,7741,6438
Dnajc5b,0,0,0,0,2,0,0,0,0
Dnajc5g,0,0,0,0,0,0,0,0,0
Dnajc6,0,0,0,3,0,0,0,0,0
Dnajc7,4988,5259,4783,4231,4073,4583,5321,6934,5091
Dnajc8,3822,4142,3848,4223,3606,4015,5170,6598,4843
Dnajc9,2234,2345,2286,1922,1806,1827,1988,2551,2195
Dnal1,607,698,593,1277,1124,948,534,734,429
Dnal4,811,839,739,725,671,779,738,868,825
Dnali1,0,1,1,3,1,3,0,3,2
Dnase1,0,2,0,0,0,0,0,0,0
Dnase1l1,251,233,202,503,437,378,201,280,132
Dnase1l2,27,29,25,39,39,19,38,34,27
Dnase1l3,3,2,0,1,3,2,1,1,2
Dnase2a,206,229,211,462,424,405,381,472,363
Dnase2b,0,2,2,2,0,2,0,0,1
Dnd1,34,42,28,49,38,24,48,62,49
Dner,5,17,3,137,127,83,0,1,0
Dnhd1,33,34,27,32,47,35,26,42,31
Dnlz,1006,983,889,1434,1251,1596,1440,1611,1456
Dnm1,1185,1181,1114,1348,1133,1249,2887,3535,2504
Dnm1l,4905,5688,4227,5060,5192,4857,5180,7332,5002
Dnm2,3224,3301,2984,5355,4660,4524,3342,4348,3292
Dnm3,37,49,38,78,57,70,55,72,58
Dnm3os,0,0,0,0,0,0,0,0,0
Dnmbp,2087,2227,1927,1802,1603,1814,2180,2694,2477
Dnmt1,11543,11613,11275,9440,8479,9747,10390,14155,11075
Dnmt3a,1133,1162,842,2781,2490,2071,960,1201,857
Dnmt3aos,0,0,0,0,0,0,0,0,0
Dnmt3b,201,172,113,181,131,128,309,321,285
Dnmt3l,0,0,0,0,0,0,8,20,8
Dnpep,906,939,863,1649,1410,1482,1045,1323,956
Dnph1,1955,2102,1890,837,731,1044,1901,2103,1956
Dntt,0,2,0,0,0,0,2,0,9
Dnttip1,1434,1483,1313,1770,1552,1659,1706,2107,1696
Dnttip2,3892,4512,3341,2575,2521,2775,4299,5758,4808
Doc2a,1,1,1,0,1,1,1,2,0
Doc2b,71,56,53,92,83,87,2,1,4
Doc2g,115,110,80,83,86,64,138,149,91
Dock1,1933,1962,1793,3050,2791,2969,2211,2877,2491
Dock10,1,1,0,2,0,0,2,4,4
Dock11,1217,1443,1180,1748,1794,1565,2065,3528,1818
Dock2,0,1,1,2,1,0,0,0,1
Dock3,628,610,537,373,381,304,8,19,11
Dock4,206,222,165,598,635,541,191,269,367
Dock5,2280,2391,1946,3167,3113,2775,3404,4297,3024
Dock6,530,488,396,648,566,443,513,729,480
Dock7,4701,5013,4125,6605,6196,5675,4819,6391,4616
Dock8,978,967,787,342,320,353,82,63,47
Dock9,1413,1443,1335,444,400,427,1408,1639,1333
Dohh,3155,3334,3109,1782,1525,1962,2375,2753,2338
Dok1,2241,2272,2145,1804,1636,2195,1970,2114,1831
Dok2,10,11,4,11,11,8,13,26,16
Dok3,37,63,28,47,38,17,55,59,32
Dok4,563,560,583,617,524,417,634,949,811
Dok5,1,1,2,19,9,12,3,0,1
Dok6,0,0,0,6,5,8,0,0,0
Dok7,490,423,427,316,256,283,47,57,38
Dolk,785,850,799,1264,1130,1337,872,1193,1126
Dolpp1,502,512,481,468,393,486,531,784,554
Donson,1059,1063,930,1202,1119,1173,902,1184,1062
Dop1a,638,716,503,645,659,618,751,1226,873
Dop1b,101,107,82,301,286,218,183,266,222
Dopey1,651,739,522,668,673,628,774,1263,897
Dopey2,101,106,83,305,288,218,182,268,221
Dot1l,7007,7311,5729,7948,7110,6479,5453,8583,5188
Doxl2,0,0,0,1,0,5,6,3,2
Dpagt1,1142,1259,1002,1319,1216,1351,686,1019,671
Dpcd,352,337,396,484,438,477,690,877,644
Dpcr1,0,0,0,0,0,0,2,2,1
Dpep1,0,1,0,0,1,0,11,10,16
Dpep2,1,0,0,3,3,6,1,0,0
Dpep3,1,0,0,0,1,1,1,0,0
Dpf1,400,395,358,142,155,190,247,322,263
Dpf2,3206,3128,2865,2458,2204,2421,2897,3669,2786
Dpf3,5,7,4,1,0,1,3,5,3
Dph1,851,893,739,563,569,665,862,950,810
Dph2,1238,1204,1017,809,709,806,1242,1403,1115
Dph3,1112,1048,1024,1027,944,966,1352,1581,1321
Dph5,818,863,770,569,523,634,953,1074,1114
Dph6,1419,1389,1233,1233,1174,1316,1574,2041,1648
Dph7,380,397,322,505,409,493,502,548,500
Dpm1,415,457,351,606,573,569,660,869,704
Dpm2,774,811,726,831,712,817,893,1201,951
Dpm3,535,537,491,655,523,639,440,505,503
Dpp10,0,0,0,0,0,0,1,0,0
Dpp3,3594,3764,3270,3209,2788,3130,4376,5368,4159
Dpp4,1,0,3,1,4,1,0,1,3
Dpp6,1,2,0,1,1,0,0,0,1
Dpp7,440,450,405,655,610,521,451,703,465
Dpp8,3264,3527,2973,4171,4185,3646,3647,5140,3730
Dpp9,3050,3127,2842,2975,2736,2805,2464,2736,2542
Dppa1,0,0,0,0,0,0,0,0,0
Dppa2,1,0,1,2,3,8,0,3,5
Dppa3,0,0,0,0,0,0,0,0,1
Dppa4,0,0,0,0,0,0,0,1,0
Dppa5a,0,1,0,0,1,1,0,0,0
Dpt,21,14,21,9,9,15,133,206,96
Dpy19l1,6252,6497,5427,12199,12226,11500,3754,4564,4023
Dpy19l2,0,1,2,0,0,0,1,0,0
Dpy19l3,834,877,797,932,882,837,792,1096,944
Dpy19l4,1947,2134,1672,1910,2004,1711,1521,2508,1581
Dpy30,1759,1834,1882,1146,919,1171,1152,1448,1198
Dpyd,0,1,0,6,9,2,0,0,1
Dpys,1,0,0,3,0,2,0,0,0
Dpysl2,683,665,704,685,545,655,465,720,388
Dpysl3,10511,10987,9149,27904,25864,26186,1967,2024,1343
Dpysl4,2,5,6,10,10,13,1,0,1
Dpysl5,14,24,20,9,3,5,12,13,12
Dqx1,57,52,42,52,37,31,40,50,33
Dr1,2099,2207,2029,1763,1776,1862,2059,2748,2261
Dram1,93,88,57,243,225,263,425,544,410
Dram2,542,582,412,751,788,740,468,769,588
Drap1,3936,4139,4160,3019,2496,2923,4572,5309,4212
Draxin,1,1,0,0,2,3,1,1,3
Drc1,2,3,4,6,1,5,2,2,2
Drc3,10,11,12,20,17,11,13,27,16
Drc7,0,0,0,0,0,0,0,0,0
Drd1,0,0,0,0,0,0,0,0,0
Drd2,0,0,0,1,0,0,0,0,0
Drd3,0,0,0,0,0,0,0,0,0
Drd4,5,5,5,10,5,4,0,0,3
Drd5,0,0,0,0,0,0,0,0,0
Dreh,0,0,0,0,0,0,0,0,0
Drg1,3754,3958,3646,3310,3093,3467,4158,4962,4526
Drg2,2463,2577,2365,1744,1555,1863,2927,3694,3024
Drosha,5359,5570,5032,3388,2892,3260,6417,7058,6608
Drp2,89,69,60,108,85,74,49,76,28
Dsc1,1,0,0,0,0,0,0,0,1
Dsc2,0,0,0,3,5,1,0,1,0
Dsc3,0,0,0,0,0,0,0,0,0
Dscam,9,4,9,59,51,68,0,1,0
Dscaml1,0,0,0,0,0,1,1,0,0
Dscc1,397,380,388,268,235,278,541,753,645
Dse,2772,2789,2289,3112,3029,3301,3826,4908,3730
Dsel,508,608,426,1355,1437,1194,654,827,693
Dsg1a,0,0,0,0,0,0,0,0,0
Dsg1b,3,5,1,7,6,1,2,3,1
Dsg1c,0,0,0,0,0,0,0,0,0
Dsg2,0,0,2,3,0,1,1,0,1
Dsg3,0,0,0,0,2,1,0,0,1
Dsg4,0,0,0,0,0,0,0,0,0
Dsn1,991,1066,970,1026,943,999,862,1424,958
Dsp,610,627,488,593,524,506,3067,4655,2082
Dspp,0,0,0,0,0,0,0,0,0
Dst,18759,19765,15938,26666,24691,21787,14071,20105,13529
Dstn,14548,15078,12780,19953,19247,19172,10596,14079,13379
Dstyk,1112,1180,953,1550,1520,1311,1124,1434,983
Dtd1,77,70,75,239,203,273,406,566,379
Dtd2,299,326,321,507,443,456,353,468,357
Dthd1,0,0,0,2,4,1,0,0,2
Dtl,2704,2837,2488,1750,1788,1869,1754,2520,1870
Dtna,750,786,722,1043,965,957,26,44,12
Dtnb,557,689,632,625,539,549,1500,1828,1235
Dtnbp1,1529,1552,1390,2007,1779,1893,2320,2861,2536
Dtwd1,603,645,636,550,517,667,764,829,745
Dtwd2,126,137,117,150,164,156,95,129,94
Dtx1,0,0,0,0,0,1,0,0,0
Dtx2,751,800,755,925,795,803,842,973,974
Dtx3,1176,1218,914,1591,1428,1127,889,1291,753
Dtx3l,108,116,98,191,170,174,218,325,407
Dtx4,1083,1020,897,776,645,726,302,407,268
Dtymk,1647,1681,1554,2497,2269,2570,2674,3378,2682
Dubr,0,0,0,0,0,0,0,0,0
Duox1,4,0,4,9,4,1,15,19,22
Duox2,1,0,0,1,2,1,4,3,4
Duoxa1,5,8,9,14,27,31,43,41,53
Duoxa2,1,0,0,0,0,0,0,0,0
Dupd1,0,0,0,0,0,0,0,0,0
Dus1l,1960,1957,1778,1456,1204,1512,2113,2589,1917
Dus2,434,456,371,393,341,338,416,513,477
Dus3l,1340,1402,1158,1051,960,904,1096,1295,975
Dus4l,243,252,258,204,213,219,235,275,266
Dusp1,598,680,595,2509,2362,2851,1241,1828,1374
Dusp10,679,679,467,606,564,496,984,1098,1247
Dusp11,5743,5761,5237,5434,5267,5128,5753,7960,5900
Dusp12,867,910,801,628,570,683,853,894,1007
Dusp13,1,0,0,2,0,3,2,0,2
Dusp14,1003,1109,960,903,787,797,1674,2152,1745
Dusp15,33,34,21,115,126,83,15,12,16
Dusp16,1325,1360,989,1188,1166,1321,1252,1924,1243
Dusp18,1407,1397,1258,1869,1790,1640,180,202,171
Dusp19,114,133,121,150,153,149,200,288,221
Dusp2,173,165,164,583,334,208,133,601,270
Dusp21,0,0,0,0,0,0,0,0,0
Dusp22,433,399,399,522,518,470,513,606,460
Dusp23,14,14,16,68,51,57,13,25,17
Dusp26,0,0,0,0,0,0,0,0,0
Dusp27,1,3,1,100,88,79,0,2,4
Dusp28,93,102,91,163,146,165,96,98,78
Dusp3,2110,2216,2034,2164,1846,2361,1229,2068,1224
Dusp4,1742,1880,1760,1793,1643,1624,1723,1815,2214
Dusp5,3710,3654,3043,4138,3809,3156,2938,5729,4055
Dusp6,2227,2279,1934,1435,1398,1357,1354,2863,1279
Dusp7,2369,2320,2179,1443,1352,1057,1423,1784,1555
Dusp8,371,385,250,576,534,631,320,418,328
Dusp9,1173,1282,1174,686,645,536,2238,1769,1644
Dut,3461,3651,3782,3750,3198,4395,4681,5959,4735
Dux,0,0,0,0,0,0,0,0,0
Duxbl1,0,0,0,0,0,0,0,0,0
Duxbl2,0,0,0,0,0,0,0,0,0
Duxbl3,0,0,0,0,0,0,0,0,0
Duxf3,0,0,0,0,0,0,0,0,0
Dvl1,4338,4534,3357,4657,4115,3670,3102,3841,2648
Dvl2,1486,1523,1353,1785,1565,1542,1625,1885,1548
Dvl3,2107,2274,1849,2938,2776,2484,2107,2566,1969
Dxo,435,471,431,450,405,409,458,527,433
Dydc1,0,0,0,0,0,0,0,0,0
Dydc2,3,4,0,1,0,0,0,2,1
Dym,685,742,613,1107,925,1085,990,1148,1035
Dynap,338,339,417,19,14,50,15,17,9
Dync1h1,18847,19344,16728,25438,23015,21912,15876,19238,14212
Dync1i1,0,1,0,8,8,6,0,2,1
Dync1i2,4876,5176,4311,6484,6236,6199,5398,7664,5593
Dync1li1,2271,2336,1989,2455,2326,2346,2989,4025,3218
Dync1li2,5426,5492,4464,6598,6179,5697,5787,8260,6655
Dync2h1,732,840,595,1133,1239,940,886,1568,824
Dync2li1,452,440,374,516,466,418,316,486,333
Dynll1,5305,5365,5397,6351,5683,6670,6170,7404,5909
Dynll2,4135,4336,4677,4419,3733,4527,3960,5218,4118
Dynlrb1,2295,2401,2410,3060,2558,2962,3237,4317,3167
Dynlrb2,0,0,0,3,0,0,0,0,0
Dynlt1a,123,116,118,103,111,106,124,158,92
Dynlt1b,151,139,126,121,107,96,160,208,137
Dynlt1c,141,140,130,117,102,100,113,157,105
Dynlt1f,216,216,188,187,183,183,186,236,161
Dynlt3,1739,1875,1622,3099,3301,2906,1674,2421,1724
Dyrk1a,2909,2879,2660,3641,3603,3368,2888,4141,2936
Dyrk1b,521,558,425,801,709,550,391,706,361
Dyrk2,1509,1521,1244,1145,1109,1000,1770,2200,1673
Dyrk3,1294,1342,1371,870,704,756,719,1251,964
Dyrk4,1,0,4,3,1,2,0,0,1
Dysf,4608,4771,3743,11741,10099,8643,1336,1803,1486
Dytn,0,0,0,0,0,0,0,0,0
Dyx1c1,0,1,3,6,13,11,5,10,10
Dzank1,21,35,20,40,33,38,49,62,25
Dzip1,267,288,236,537,564,427,278,543,306
Dzip1l,2126,2215,1913,3948,3478,3765,2087,3154,2376
Dzip3,1061,1211,882,1634,1799,1609,1401,1979,1633
E030003E18Rik,0,0,0,0,0,0,0,0,0
E030011O05Rik,0,0,0,0,0,0,0,0,0
E030013I19Rik,0,0,0,0,0,0,0,0,0
E030018B13Rik,0,0,0,0,1,1,0,0,0
E030024N20Rik,0,0,0,0,0,0,0,0,0
E030025P04Rik,0,0,0,0,0,0,0,0,0
E030030I06Rik,39,32,30,27,25,23,39,55,40
E030042O20Rik,0,0,0,0,0,0,0,0,0
E030044B06Rik,0,0,0,0,0,0,0,0,0
E130006D01Rik,0,0,0,0,0,0,0,0,0
E130008D07Rik,0,0,0,0,0,0,0,0,0
E130018N17Rik,0,0,0,0,0,0,0,0,0
E130018O15Rik,0,0,0,0,0,0,0,0,0
E130101E03Rik,0,0,0,0,0,0,0,0,0
E130102H24Rik,0,0,0,0,0,0,0,0,0
E130111B04Rik,0,0,0,0,0,0,0,0,0
E130112N10Rik,0,0,0,0,0,0,0,0,0
E130114P18Rik,0,0,0,0,0,0,0,0,0
E130119H09Rik,0,0,0,0,0,0,0,0,0
E130120K24Rik,0,0,0,0,0,0,0,0,0
E130201H02Rik,0,0,0,0,0,0,0,0,0
E130215H24Rik,0,0,0,0,0,0,0,0,0
E130218I03Rik,0,0,0,0,0,0,0,0,0
E130304I02Rik,0,0,0,0,0,0,0,0,0
E130307A14Rik,0,0,0,0,0,0,0,0,0
E130308A19Rik,354,348,309,258,250,228,157,267,143
